description,port,status,tcp,udp
HP System Management Redirect to port 2381[citation needed],2301,Unofficial,True,False
ArmA multiplayer (default for server reporting) (default port for game +1),2303,Unofficial,False,True
ArmA multiplayer (default for game),2302,Unofficial,False,True
Halo: Combat Evolved multiplayer,2302,Unofficial,False,True
ArmA multiplayer (default for VoN) (default port for game +3),2305,Unofficial,False,True
PostgreSQL database system,5432,Official,True,True
Echo Protocol,7,Official,True,True
SSMP Message protocol,9110,Unofficial,False,True
id Software's Quake server,26000,Official,False,True
id Software's Quake server,26000,Official,True,False
CCP's EVE Online Online gaming MMORPG,26000,Unofficial,True,False
e-mail message submission[22] (SMTP),587,Official,True,False
Synergy: keyboard/mouse sharing software,24800,Unofficial,False,False
DART Reporting server[citation needed],18180,Unofficial,True,False
GoToMyPC,8200,Unofficial,True,False
Instrument Neutral Distributed Interface,7624,Official,True,True
Extensible Messaging and Presence Protocol (XMPP) XEP-0124: Bidirectional-streams Over Synchronous HTTP (BOSH),5280,Official,True,False
Takenaka RDI Mirror World on SecondLife[citation needed],12998–12999,Unofficial,False,True
GFI EventsManager 7 & 8[citation needed],7787-7788,Official,True,False
Murealm Client[citation needed],41823,Unofficial,True,True
x3Lobby Used by x3Lobby, an internet application.,32123,Unofficial,True,False
MSSQL (Microsoft SQL Server database management system) Monitor,1434,Official,True,True
id Software's QuakeWorld,27500-27900,Unofficial,False,True
MSSQL (Microsoft SQL Server database management system) Server,1433,Official,True,False
Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system,1431,Official,True,False
Peercast[citation needed],7144,Unofficial,True,False
Peercast[citation needed],7145,Unofficial,True,False
Killing Floor,8075,Unofficial,True,False
Miralix IVR and Voicemail[citation needed],3017,Unofficial,True,False
Starsiege: Tribes Common/default Tribes v.1 Server,28001,Unofficial,False,False
Bitfighter Common/default Bitfighter Server,28000,Unofficial,False,False
Armagetron Advanced default server port,4534,Unofficial,False,True
TheòsMessenger third port for service TheòsMessenger[citation needed],43048,Official,True,False
KGS Go Server,2379,Unofficial,True,False
rsync file synchronization protocol,873,Official,True,False
rlogin,513,Official,True,False
Who[21],513,Official,False,True
TheòsMessenger second port for service TheòsMessenger[citation needed],43047,Official,True,False
Default for BMC Software Control-M/Server—to allow the Control-M/Enterprise Manager to connect to the Control-M/Server, though often changed during installation,2370,Official,True,False
Opsware agent (aka cogbot),1002,Unofficial,True,False
Talk,517,Official,False,True
Nintendo Wi-Fi Connection[118],29920,Unofficial,False,False
ASF Remote Management and Control Protocol (ASF-RMCP),623,Official,False,True
ColdFusion Macromedia/Adobe ColdFusion default and Duke Nukem 3D—default,8500,Unofficial,True,True
HTTPS listener for Apache Synapse [97],8243,Official,True,True
TGP, TrulyGlobal Protocol, also known as "The Gur Protocol" (named for Gur Kimchi of TrulyGlobal),1223,Official,True,True
QuickTime Streaming Server administration,1220,Official,True,False
Gadu-Gadu,8074,Unofficial,True,False
Munin Resource Monitoring Tool,4949,Official,True,False
mngsuite, LANDesk Management Suite Remote Control,9535,Official,True,True
Internet Content Adaptation Protocol,1344,Official,True,False
VoiceIP-ACS UMP default device provisioning endpoint (SSL)[citation needed],10302,Unofficial,True,False
VoiceIP-ACS UMP default device provisioning endpoint[citation needed],10301,Unofficial,True,False
AVM CAPI-over-TCP (ISDN over Ethernet tunneling)[citation needed],5031,Unofficial,True,True
Winbox—Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS[citation needed],8291,Unofficial,True,False
Privoxy—advertisement-filtering Web proxy,8118,Official,True,False
Jeex.EU Artesia (direct client-to-db.service),15556,Unofficial,True,True
NSCA (Nagios),5667,Unofficial,True,False
NRPE (Nagios),5666,Unofficial,True,False
BGP (Border Gateway Protocol),179,Official,True,False
psyBNC,15000,Unofficial,True,False
Wesnoth,15000,Unofficial,True,False
Kaspersky Network Agent[citation needed],15000,Unofficial,True,False
hydap, Hypack Hydrographic Software Packages Data Acquisition,15000,Official,True,False
hydap, Hypack Hydrographic Software Packages Data Acquisition,15000,Official,False,True
X Display Manager Control Protocol (XDMCP),177,Official,True,True
VMNET (IBM z/VM, z/OS & z/VSE - Network Job Entry(NJE)),175,Official,True,False
JOSM Remote Control,8111,Unofficial,True,False
Check Point Cluster Control Protocol,8116,Unofficial,False,True
Default for YSFlight server[90],7915,Unofficial,True,False
Print-srv, Network PostScript,170,Official,True,False
Tunngle,11155,Unofficial,True,True
knetd Kerberos de-multiplexor,2053,Unofficial,True,False
softcm, HP Softbench CM,6110,Official,True,True
Network File System (protocol) over IPv6 Service,973,Unofficial,False,True
ProRat Server,5110,Unofficial,True,False
Civilization 4 multiplayer,2056,Unofficial,False,True
Subversion (SVN) version control system,3690,Official,True,True
Manic Digger default single player port,25570,Unofficial,False,False
Gobby (and other libobby-based software),6522,Unofficial,True,False
APRS UI-View Amateur Radio[111] UI-WebServer,14439,Unofficial,True,False
Media Management System (MMS) Media Management Protocol (MMP)[26],654,Official,True,False
Windows Live Messenger (Whiteboard and Application Sharing),1503,Unofficial,True,True
NetGuard GuardianPro firewall (NT4-based) Remote Management,1500,Unofficial,True,False
NetGuard GuardianPro firewall (NT4-based) Authentication Client,1501,Unofficial,False,True
SupportSoft Nexus Remote Command (data): A proxy gateway connecting remote control traffic,653,Official,True,True
IEEE-MMS,651,Official,True,True
MIS Department,2115,Unofficial,True,True
HTTP/TCP Symon Communications Event and Query Engine[citation needed],8014,Unofficial,True,False
Perseus SDR Receiver default remote connection port[citation needed],8014,Unofficial,True,True
AberMUD and derivatives default port,6715,Unofficial,True,False
Wavestore CCTV protocol[100],8601,Unofficial,True,False
Back Orifice—remote administration tool (often Trojan horse),31337,Unofficial,True,False
Sony PlayStation RemotePlay[103],9293,Unofficial,True,False
Oracle Management Remote Agent[citation needed],3872,Unofficial,True,False
MMTSG-mutualed over MMT (encrypted transmission),32245,Unofficial,True,False
Openfire Administration Console (SSL Secured),9091,Unofficial,True,False
Transmission (BitTorrent client) Web Interface,9091,Unofficial,True,False
Microsoft Message Queuing,3527,Official,False,True
EDI service[121],34567,Official,True,False
VPOP3 Mail Server Status[citation needed],5109,Unofficial,True,True
Open Object Rexx (ooRexx) rxapi daemon,10010,Official,True,False
AIX,NeXT, HPUX—rexd daemon control[citation needed],10017,Unofficial,False,False
Savage:Battle for Newerth Server Hosting[citation needed],11235,Unofficial,False,False
IBM Tivoli Framework NetCOOL/Impact[69] HTTP Service,5104,Unofficial,True,False
HTTP alternate, VibeStreamer, e.g. McAfee ePolicy Orchestrator (ePO),8081,Unofficial,True,False
Active Users (systat service)[5][6],11,Official,True,True
Unassigned,10,Official,True,True
Daytime Protocol (RFC 867),13,Official,True,True
Unassigned,12,Official,True,True
Previously netstat service[5],15,Unofficial,True,True
Unassigned,14,Official,True,True
Quote of the Day,17,Official,True,True
Unassigned,16,Official,True,True
Character Generator Protocol (CHARGEN),19,Official,True,True
Message Send Protocol,18,Official,True,True
TWAMP control (RFC 5357),862,Official,True,True
Ontolux Ontolux 2D,13195-13196,Unofficial,True,True
Google Desktop Search,4664,Unofficial,True,False
Light Weight Access Point Protocol (LWAPP) LWAPP data (RFC 5412),12222,Official,False,True
Light Weight Access Point Protocol (LWAPP) LWAPP control (RFC 5412),12223,Official,False,True
Citel / MCK IVPIP,2698,Official,True,True
NetBus—remote administration tool (often Trojan horse). Also used by NetBuster. Little Fighter 2 (TCP).,12345,Unofficial,False,False
commplex-link,5001,Official,True,False
Slingbox and Slingplayer,5001,Unofficial,True,False
Iperf (Tool for measuring TCP and UDP bandwidth performance),5001,Unofficial,True,False
Iperf (Tool for measuring TCP and UDP bandwidth performance),5001,Unofficial,False,True
Synology Inc. Secured Management Console, File Station, Audio Station,5001,Unofficial,True,False
RTPS (Real Time Publish Subscribe) DDS Meta-Traffic,7402,Official,True,True
cddbp-alt, CD DataBase (CDDB) protocol (CDDBP) alternate,8880,Official,False,True
cddbp-alt, CD DataBase (CDDB) protocol (CDDBP) alternate,8880,Official,True,False
WebSphere Application Server SOAP connector default,8880,Unofficial,True,False
Win Media Streamer to Server SOAP connector default,8880,Unofficial,True,False
udt_os, IBM UniData UDT OS[56],3900,Official,True,False
passwd_server, Kerberos Password (kpasswd) server,752,Unofficial,False,True
cddbp, CD DataBase (CDDB) protocol (CDDBP),888,Unofficial,True,False
EPOS Speech Synthesis System,8778,Unofficial,True,False
Tardis Beacon Tcp-control of first worm that re-writes time by compiling from code in cleartext.,4665,Official,True,False
Splunk Daemon,8089,Unofficial,True,False
DART Reporting server[citation needed],20014,Unofficial,True,False
Tor,9050,Unofficial,True,False
Tor,9051,Unofficial,True,False
Lightweight Directory Access Protocol (LDAP),389,Official,True,True
IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[27] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration,657,Official,True,True
WhiskerControl research control protocol,3233,Official,True,True
Galaxy Network Service (Gateway Ticketing Systems),3235,Official,True,True
Diablo II game,4000,Unofficial,True,True
Microsoft Ants game,4001,Unofficial,True,False
Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol[citation needed],1967,Unofficial,False,True
ICQ and AOL Instant Messenger,5190,Official,True,False
PrintBuzzer printer monitoring socket server[citation needed],4007,Unofficial,True,False
MapleStory Game Server,8585,Unofficial,True,False
Precision time protocol general messages,320,Official,False,True
MapleStory Game Server,8588,Unofficial,True,False
OpenTTD game,3979,Unofficial,True,True
OpenTTD game (masterserver and content service),3978,Unofficial,True,True
VNC remote desktop protocol—for use over HTTP,5800,Unofficial,True,False
MonkeyCom[citation needed],9898,Official,False,True
MonkeyCom[citation needed],9898,Official,True,False
Tripwire—File Integrity Monitoring Software[citation needed],9898,Unofficial,True,False
Oracle Universal Content Management Content Server,16200,Unofficial,True,False
Audition Online Dance Battle, AsiaSoft SEA Server—FAM Database,18306,Unofficial,True,True
Teamware Office MIME Connector,25007,Official,True,False
Teamware Office standard client connection,25000,Official,True,False
Audition Online Dance Battle, AsiaSoft SEA Server,18301,Unofficial,True,True
Audition Online Dance Battle, AsiaSoft SEA Server—Status/Version Check,18300,Unofficial,True,True
The Quick Mail Transfer Protocol,209,Official,True,True
AMLFilter, AMLFilter Inc. amlf-engine-01 default https port,21012,Unofficial,True,False
AMLFilter, AMLFilter Inc. amlf-engine-01 default http port,21011,Unofficial,True,False
priv-rjs protocol which is considered unsafe by Google Chrome[10],77,Unofficial,False,False
NETRJS protocol,74,Official,True,False
NETRJS protocol,73,Official,True,False
NETRJS protocol,72,Official,True,False
NETRJS protocol,71,Official,True,False
Gopher protocol,70,Official,True,False
APC PowerChute Network [1],3052,Official,True,True
gds_db (Interbase/Firebird),3050,Official,True,True
Galaxy Server (Gateway Ticketing Systems),3051,Official,True,True
Discard Protocol,9,Official,True,True
Wake-on-LAN,9,Unofficial,False,True
mdbe daemon,800,Official,False,True
eMule optional web interface[60],4711,Unofficial,True,False
McAfee Web Gateway 7 - Default GUI Port HTTP[citation needed],4711,Unofficial,True,False
McAfee Web Gateway 7 - Default GUI Port HTTPS[citation needed],4712,Unofficial,True,False
PulseAudio sound server,4713,Unofficial,True,False
NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.,524,Official,True,True
VPOP3 Mail Server Webmail[citation needed],5108,Unofficial,True,False
Cisco Unified Video Advantage[citation needed],5445,Unofficial,False,True
Farming Simulator 2011 Default Server[citation needed],10823,Unofficial,False,True
Computer Associates Desktop and Server Management (DMP)/Port Multiplexer [61],4728,Official,True,False
Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP control[73],5246,Official,False,True
cft-1 to cft-7,1762–1768,Official,True,True
Microsoft Key Management Service for KMS Windows Activation,1688,Unofficial,True,False
Backup Exec Agent Browser[citation needed],6101,Unofficial,True,False
cft-0,1761,Official,False,True
cft-0,1761,Official,True,False
Novell Zenworks Remote Control utility,1761,Unofficial,True,False
Ensim Control Panel[citation needed],19638,Unofficial,True,False
TeamViewer remote desktop protocol,5938,Unofficial,True,True
Arcserve backup,6050,Unofficial,True,False
Nortel software[citation needed],6050,Unofficial,True,False
AutoNOC protocol,1140,Official,True,True
HyperVM HTTP,8887,Official,True,False
PxPlus Client server interface ProvideX,4093,Official,True,True
ATMP Ascend Tunnel Management Protocol[70],5150,Official,True,True
Malware Cerberus RAT[citation needed],5150,Unofficial,True,True
Doom, first online first-person shooter,666,Official,False,True
airserv-ng, aircrack-ng's server for remote-controlling wireless devices,666,Unofficial,True,False
MasterPort - WarZ,34000,Unofficial,False,False
NSClient/NSClient++/NC_Net (Nagios),12489,Unofficial,True,False
Network UPS Tools (NUT),3493,Official,True,True
Mac OS X Server administration,660,Official,True,False
CPanel default Web mail,2095,Unofficial,True,False
Super Dancer Online Extreme(SDO-X)—CiB Net Station Malaysia Server[citation needed],18010,Unofficial,True,False
BINKP, Fidonet mail transfers over TCP/IP,24554,Official,True,True
4D database DB4D Communication[citation needed],19814,Unofficial,True,False
Immunet Protect (UDP in version 2.0,[119] TCP since version 3.0[120]),32137,Unofficial,True,True
4D database SQL Communication[citation needed],19812,Unofficial,True,False
4D database Client Server Communication[citation needed],19813,Unofficial,True,False
SMTP alternate[citation needed],2525,Unofficial,True,False
Laplink,1547,Official,True,True
Web caches and the default for the Squid (software),3128,Unofficial,True,False
Tatsoft default client connection[citation needed],3128,Unofficial,True,False
Default for BMC Software Control-M/Server—Socket used for communication between Control-M processes—though often changed during installation,6005,Official,True,False
Default for Camfrog chat & cam client,6005,Unofficial,True,False
X11—used between an X client and server over the network,6000,Official,True,False
X11—used between an X client and server over the network,6001,Official,False,True
Apple Remote Desktop reporting (officially Net Assistant, referring to an earlier product),3283,Official,True,False
Oracle database listening for SSL client connections to the listener,2484,Official,True,True
ACR/NEMA Digital Imaging and Communications in Medicine (DICOM),11112,Official,True,True
Oracle database listening for unsecure client connections to the listener, replaces port 1521,2483,Official,True,True
OrientDB database listening for HTTP client connections,2480,Official,True,False
Activision's Enemy Territory and id Software's Quake III Arena, Quake III and Quake Live and some ioquake3 derived games (OpenArena incoming),27960-27969,Unofficial,False,True
commerce (Commerce Applications),542,Official,True,True
klogin, Kerberos login,543,Official,True,False
UUCP (Unix-to-Unix Copy Protocol),540,Official,True,False
DHCPv6 client,546,Official,True,True
DHCPv6 server,547,Official,True,True
kshell, Kerberos Remote shell,544,Official,True,False
OSIsoft PI (VMS), OSISoft PI Server Client Access,545,Unofficial,True,False
Unassigned,8,Official,True,True
Apple Filing Protocol (AFP) over TCP,548,Official,True,False
BitTorrent part of full range of ports used most often,6889–6890,Unofficial,True,True
StepMania: Online: Dance Dance Revolution Simulator,24842,Unofficial,False,False
Post Office Protocol 3 over TLS/SSL (POP3S),995,Official,True,False
Perfect World International Used by the Perfect World International Client,29000,Unofficial,False,False
Festival Speech Synthesis System,1314,Unofficial,True,False
Xbiim (Canvii server)[citation needed],1313,Unofficial,True,False
Session Initiation Protocol (SIP),5060,Official,True,True
Dell OpenManage HTTPS,1311,Official,True,False
Reserved[1],1024,Official,True,True
ScimoreDB Database System,999,Unofficial,True,False
Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44)[42],1027,Official,False,True
Zabbix-Trapper,10051,Official,True,True
Zabbix-Agent,10050,Official,True,True
ODMR, On-Demand Mail Relay,366,Official,True,True
Sun Grid Engine—Qmaster Service,6444,Official,True,True
Often used by Microsoft DCOM services,1026,Unofficial,True,False
Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development,126,Official,True,True
CompressNET[2] Management Utility[3],2,Official,True,True
360Works SuperContainer[94],8020,Unofficial,True,False
IGRS,3880,Official,True,True
Default for Tidal Enterprise Scheduler master-Socket used for communication between Agent-to-Master, though can be changed[citation needed],5591,Unofficial,True,False
Sun Grid Engine—Execution Service,6445,Official,True,True
NetSupport Manager,5421,Official,True,True
SANE (Scanner Access Now Easy)—SANE network scanner daemon,6566,Unofficial,True,False
Speech-Dispatcher daemon,6560-6561,Unofficial,True,False
OWAMP control (RFC 4656),861,Official,True,True
Iron Mountain LiveVault Agent[citation needed],2145,Unofficial,True,False
Iron Mountain LiveVault Agent[citation needed],2144,Unofficial,True,False
TDMoIP (RFC 5087),2142,Official,False,True
iSCSI (RFC 3720),860,Official,True,False
xmlBlaster,3412,Official,True,True
MapleStory Game Server,8586,Unofficial,True,False
cadsi-lm, LMS International (formerly Computer Aided Design Software, Inc. (CADSI)) LM,1387,Official,True,True
WinMX (see also 6699),6257,Unofficial,False,True
Server for the DAI family of client-server products[citation needed],45824,Official,True,False
WarMUX game server,3826,Official,True,True
Used by RedSeal Networks client/server connection[citation needed],3826,Unofficial,True,False
Precision time protocol event messages,319,Official,False,True
PKIX TSP, Time Stamp Protocol,318,Official,True,True
Default for Apache Solr [101],8983,Unofficial,True,False
Kega Fusion, a Sega multi-console emulator[76][77],5394,Unofficial,False,True
AcceleNet Intelligent Transfer Protocol,1182,Official,True,True
Mac OS X Server Admin (officially AppleShare IP Web administration),311,Official,True,False
Used by "Ace of Spades" game,32887,Unofficial,True,False
WebSM,9090,Unofficial,True,True
Webwasher, Secure Web, McAfee Web Gateway - Default Proxy Port[citation needed],9090,Unofficial,True,False
Openfire Administration Console,9090,Unofficial,True,False
SqueezeCenter control (CLI),9090,Unofficial,True,False
EMCADS service, a Giritech product used by G/On,3945,Official,True,True
spc, HP Softbench Sub-Process Control,6111,Official,True,True
IBM Tivoli monitoring console,1920,Unofficial,True,False
Sony PlayStation Vita Host Collaboration WiFi Data Transfer[104],9309,Unofficial,True,True
CyBro A-bus, Cybrotech Ltd.,8442,Official,True,True
SW Soft Plesk Control Panel, Apache Tomcat SSL, Promise WebPAM SSL, McAfee ePolicy Orchestrator (ePO),8443,Unofficial,True,False
Sphinx Native API,9306,Official,True,False
Default for Tidal Enterprise Scheduler client-Socket used for communication between Client-to-Master, though can be changed[citation needed],6702,Unofficial,True,False
IBM Cognos 8 SOAP Business Intelligence and Performance Management,9300,Unofficial,True,False
Aleph One (game),4226,Unofficial,True,True
D-Link Shareport Share storage and MFP printers,9303,Unofficial,False,True
SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, Server-to-Server,5099,Official,True,True
Dantz Retrospect,497,Official,True,False
HyperVM HTTPS,8888,Official,True,False
Freenet HTTP,8888,Unofficial,True,False
NewsEDGE server,8888,Official,True,True
Sun Answerbook dwhttpd server (deprecated by docs.sun.com),8888,Unofficial,True,False
GNUmp3d HTTP music streaming and Web interface,8888,Unofficial,True,False
LoLo Catcher HTTP Web interface (www.optiform.com),8888,Unofficial,True,False
D2GS Admin Console Telnet administration console for D2GS servers (Diablo 2),8888,Unofficial,True,False
Earthland Relams 2 Server (AU1_2)[citation needed],8888,Unofficial,True,False
MAMP Server,8888,Unofficial,True,False
www.SmartSystemsLLC.com Used by Smart Sale 5.0[citation needed],28395,Unofficial,True,False
PPM3 (Padtec Management Protocol version 3),8886,Unofficial,True,False
SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, Client-to-Server,5093,Official,False,True
STUN, a protocol for NAT traversal[53],3478,Official,True,True
TURN, a protocol for NAT traversal[54],3478,Official,True,True
Atlasz Informatics Research Ltd Secure Application Server[citation needed],8881,Unofficial,True,False
Netflexity Inc QFlex - IBM WebSphere MQ monitoring software.,8881,Unofficial,True,False
Microsoft Remote Web Workplace administration,4125,Unofficial,True,False
Atlasz Informatics Research Ltd Secure Application Server[citation needed],8882,Unofficial,True,False
CompressNET[2] Compression Process[4],3,Official,True,True
Rpc2portmap,369,Official,True,True
Audition Online Dance Battle, KAIZEN Brazil Server—Status/Version Check,18400,Unofficial,True,True
Audition Online Dance Battle, KAIZEN Brazil Server,18401,Unofficial,True,True
War of No Return Server Port[citation needed],26850,Unofficial,True,False
Mu Online Connect Server,44405,Unofficial,True,False
Bryan Wilcutt T2-NMCS Protocol for SatCom Modems,7023,Official,False,True
Database mirroring endpoints[citation needed],7022,Unofficial,True,False
HP data alarm manager,383,Official,True,True
A Remote Network Server System,384,Official,True,True
Microsoft-DS Active Directory, Windows shares,445,Official,True,False
Microsoft-DS SMB file sharing,445,Official,True,False
Zimbra LMTP [mailbox]—local mail delivery,7025,Unofficial,True,False
AURP, AppleTalk Update-based Routing Protocol[20],387,Official,True,True
RADIUS change of authorization,3799,Unofficial,False,True
Mac OS X Server Web (HTTP) service with performance cache[112],16080,Unofficial,True,False
ThoughtSignal—Server Communication Service (often Informational),31415,Unofficial,False,False
Osorno Automation Protocol (OSAUT),6679,Official,True,True
IRC SSL (Secure Internet Relay Chat)—often used,6679,Unofficial,True,False
Pichat Server—Peer to peer chat software,9009,Official,True,True
radius auth, RADIUS authentication protocol (default for Cisco and Juniper Networks RADIUS servers, but see port 1812 below),1645,Unofficial,True,True
K2 - KeyAuditor & KeyServer, Sassafras Software Inc. Software Asset Management tools,19283,Official,True,True
radius acct, RADIUS authentication protocol (default for Cisco and Juniper Networks RADIUS servers, but see port 1813 below),1646,Unofficial,True,True
Conserver serial-console management server,782,Unofficial,True,False
SpamAssassin spamd daemon,783,Unofficial,True,False
BladeLogic Agent,4750,Unofficial,True,False
RTPS (Real Time Publish Subscribe) DDS User-Traffic,7401,Official,True,True
Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP data[73],5247,Official,False,True
Valve Steam Client,1725,Unofficial,False,True
Microsoft Point-to-Point Tunneling Protocol (PPTP),1723,Official,True,True
H.323 Call signalling,1720,Official,True,False
RTPS (Real Time Publish Subscribe) DDS Discovery,7400,Official,True,True
Blood Quest Online Server[citation needed],11294,Unofficial,False,False
Newforma Server comms,9002,Unofficial,False,False
Lantronix Discovery for Lantronix serial-to-ethernet devices,30718,Unofficial,False,True
Line Printer Daemon—print service,515,Official,True,False
ETL Service Manager[102],9001,Official,True,True
Microsoft SharePoint authoring environment,9001,Unofficial,False,False
cisco-xremote router configuration[citation needed],9001,Unofficial,False,False
Tor network default,9001,Unofficial,False,False
DBGp Proxy,9001,Unofficial,True,False
HSQLDB default port,9001,Unofficial,True,False
Console Gateway License Verification,8100,Unofficial,True,False
Default port for most Endless Online-based servers[citation needed],8078,Unofficial,True,True
Buffalo LinkSystem Web access[citation needed],9000,Unofficial,True,False
DBGp,9000,Unofficial,True,False
SqueezeCenter web server & streaming,9000,Unofficial,True,False
UDPCast,9000,Unofficial,False,True
Play! Framework web server[citation needed],9000,Unofficial,True,False
BitTorrent,30301,Unofficial,False,False
TiVoConnect Beacon[citation needed],2190,Unofficial,False,True
Miralix InfoLink[citation needed],3004,Unofficial,True,False
Miralix OM Server[citation needed],3007,Unofficial,True,False
phone, conference calling,1167,Unofficial,False,True
Miralix Phone Monitor[citation needed],3001,Unofficial,True,False
Opsware server (Satellite),3001,Unofficial,True,False
Apple Push Notification service Link,2195,Unofficial,True,False
Apple Push Notification - Feedback Link,2196,Unofficial,True,False
Miralix CSTA[citation needed],3002,Unofficial,True,False
Bootstrap Protocol (BOOTP) Client; also used by Dynamic Host Configuration Protocol (DHCP),68,Official,False,True
Trivial File Transfer Protocol (TFTP),69,Official,False,True
SFLM (Standard Floating License Manager),3162,Official,True,True
Cube 2 Sauerbraten[116],28785,Unofficial,False,True
Cube 2 Sauerbraten Port 2[116],28786,Unofficial,False,True
Tuxanci game server[48],2200,Unofficial,False,True
Timbuktu Service 4 Port,1420,Official,True,True
Cisco VQP (VLAN Query Protocol) / VMPS,1589,Unofficial,False,True
corbaloc:iiop URL, per the CORBA 3.0.3 specification,2809,Official,True,False
IBM WebSphere Application Server (WAS) Bootstrap/rmi default,2809,Unofficial,True,False
corbaloc:iiop URL, per the CORBA 3.0.3 specification.,2809,Official,False,True
Pervasive PSQL,1583,Unofficial,True,False
MIL STD 2045-47001 VMF,1581,Official,False,True
BACnet Building Automation and Control Networks (4780810 = BAC016),47808,Official,True,True
IEC 60870-5 -104, used to send electric power telecontrol messages between two systems via directly connected data circuits,2404,Official,True,False
Linden Lab viewer to sim on SecondLife[citation needed],12035,Unofficial,False,True
Hall Research Device discovery and configuration,6324,Official,True,True
Default for BMC Software Control-M/Server—Configuration Agent, though often changed during installation,2369,Official,True,False
OpenERP Legacy netrpc protocol,8070,Unofficial,True,False
Citadel—multiservice protocol for dedicated clients for the Citadel groupware system,504,Official,True,True
Modbus, Protocol,502,Unofficial,True,True
LarmX.com™ database update mtr port[citation needed],43034,Unofficial,True,True
Internet Security Association and Key Management Protocol (ISAKMP),500,Official,False,True
Axence nVision[citation needed],37659,Unofficial,True,False
Sonic Robo Blast 2 : Multiplayer[66],5029,Unofficial,True,False
Internet Printing Protocol (IPP),631,Official,True,True
Common Unix Printing System (CUPS),631,Unofficial,True,True
Symantec i3 Web GUI server,20720,Unofficial,True,False
Uvora Online,1217,Unofficial,True,False
Kazaa,1214,Official,True,False
OpenERP Default HTTP port (web interface and xmlrpc calls),8069,Unofficial,True,False
Westell Remote Access,2420,Official,False,True
IBM Lotus Notes/Domino[45] (RPC) protocol,1352,Official,True,False
OrientDB database listening for Binary client connections,2424,Official,True,False
Resource Location Protocol[7] (RLP)—used for determining the location of higher level services from hosts on a network,39,Official,True,True
Tripwire,1169,Official,True,True
Freeciv versions up to 2.0, Hewlett-Packard Data Protector, McAfee EndPoint Encryption Database Server, SAP, Default for Microsoft Dynamics CRM 4.0,5555,Unofficial,True,False
